Time Period,1month,3month,6month,1year,2year,3year,5year,7year,10year,20year,30year
1990-01-02 00:00:00+00:00,,0.0783,0.0789,0.0781,0.0787,0.079,0.0787,0.0798,0.0794,,0.08
1990-01-03 00:00:00+00:00,,0.0789,0.0794,0.0785,0.0794,0.0796,0.0792,0.0804,0.0799,,0.0804
1990-01-04 00:00:00+00:00,,0.0784,0.079,0.0782,0.0792,0.0793,0.0791,0.0802,0.0798,,0.0804
1990-01-05 00:00:00+00:00,,0.0779,0.0785,0.0779,0.079,0.0794,0.0792,0.0803,0.0799,,0.0806
1990-01-08 00:00:00+00:00,,0.0779,0.0788,0.0781,0.079,0.0795,0.0792,0.0805,0.0802,,0.0809
1990-01-09 00:00:00+00:00,,0.078,0.0782,0.0778,0.0791,0.0794,0.0792,0.0805,0.0802,,0.081
1990-01-10 00:00:00+00:00,,0.0775,0.0778,0.0777,0.0791,0.0795,0.0792,0.08,0.0803,,0.0811
1990-01-11 00:00:00+00:00,,0.078,0.078,0.0777,0.0791,0.0795,0.0794,0.0801,0.0804,,0.0811
1990-01-12 00:00:00+00:00,,0.0774,0.0781,0.0776,0.0793,0.0798,0.0799,0.0807,0.081,,0.0817
1990-01-16 00:00:00+00:00,,0.0789,0.0799,0.0792,0.081,0.0813,0.0811,0.0818,0.082,,0.0825
1990-01-17 00:00:00+00:00,,0.0797,0.0797,0.0791,0.0809,0.0811,0.0811,0.0817,0.0819,,0.0825
1990-01-18 00:00:00+00:00,,0.0804,0.0808,0.0805,0.0825,0.0828,0.0827,0.0831,0.0832,,0.0835
1990-01-19 00:00:00+00:00,,0.08,0.0801,0.08,0.082,0.0823,0.082,0.0824,0.0826,,0.0829
1990-01-22 00:00:00+00:00,,0.0799,0.0799,0.0798,0.0818,0.082,0.0819,0.0825,0.0827,,0.0831
1990-01-23 00:00:00+00:00,,0.0793,0.0797,0.0797,0.0818,0.082,0.0818,0.0823,0.0826,,0.0829
1990-01-24 00:00:00+00:00,,0.0793,0.0799,0.08,0.082,0.0829,0.0828,0.0834,0.0838,,0.0841
1990-01-25 00:00:00+00:00,,0.0795,0.0801,0.0803,0.0824,0.0832,0.0831,0.0839,0.0842,,0.0846
1990-01-26 00:00:00+00:00,,0.0793,0.0804,0.0807,0.0828,0.0838,0.0838,0.0845,0.0849,,0.0855
1990-01-29 00:00:00+00:00,,0.08,0.0809,0.0808,0.083,0.0839,0.0839,0.0845,0.085,,0.0854
1990-01-30 00:00:00+00:00,,0.08,0.0814,0.0809,0.083,0.0839,0.0843,0.0847,0.0851,,0.0855
1990-01-31 00:00:00+00:00,,0.08,0.0813,0.0808,0.0828,0.0836,0.0835,0.0839,0.0843,,0.0846
1990-02-01 00:00:00+00:00,,0.0802,0.0813,0.0809,0.0828,0.0835,0.0835,0.0838,0.0842,,0.0844
1990-02-02 00:00:00+00:00,,0.0807,0.0817,0.0813,0.0837,0.0843,0.0842,0.0846,0.085,,0.0851
1990-02-05 00:00:00+00:00,,0.0808,0.0818,0.0815,0.0837,0.0843,0.0844,0.0848,0.0853,,0.0853
1990-02-06 00:00:00+00:00,,0.0809,0.0817,0.0815,0.0842,0.0843,0.0849,0.0852,0.0857,,0.0858
1990-02-07 00:00:00+00:00,,0.0808,0.0819,0.0817,0.0842,0.0843,0.0851,0.0853,0.0852,,0.0857
1990-02-08 00:00:00+00:00,,0.0808,0.0818,0.0813,0.0837,0.0839,0.0845,0.0848,0.0849,,0.085
1990-02-09 00:00:00+00:00,,0.0802,0.0809,0.0803,0.0825,0.0824,0.0829,0.0834,0.0831,,0.0836
1990-02-12 00:00:00+00:00,,0.0799,0.0811,0.0806,0.0832,0.0832,0.0837,0.0841,0.084,,0.0843
1990-02-13 00:00:00+00:00,,0.0784,0.0797,0.0795,0.0821,0.0821,0.0829,0.0836,0.0835,,0.0839
1990-02-14 00:00:00+00:00,,0.0787,0.08,0.0803,0.0827,0.0827,0.0834,0.0836,0.0836,,0.0841
1990-02-15 00:00:00+00:00,,0.0797,0.0808,0.0811,0.0835,0.0835,0.084,0.0844,0.0843,,0.0847
1990-02-16 00:00:00+00:00,,0.0794,0.0807,0.0809,0.0836,0.0834,0.0841,0.0843,0.0842,,0.0846
1990-02-20 00:00:00+00:00,,0.0806,0.082,0.0824,0.0852,0.0852,0.0858,0.0863,0.0862,,0.0866
1990-02-21 00:00:00+00:00,,0.0801,0.0819,0.0822,0.085,0.0852,0.086,0.0863,0.0862,,0.0866
1990-02-22 00:00:00+00:00,,0.0799,0.0815,0.0817,0.0845,0.0848,0.0848,0.0857,0.0854,,0.0856
1990-02-23 00:00:00+00:00,,0.0793,0.0809,0.0811,0.0843,0.0845,0.0847,0.0856,0.0853,,0.0856
1990-02-26 00:00:00+00:00,,0.0797,0.0809,0.081,0.0838,0.084,0.084,0.0849,0.0846,,0.0849
1990-02-27 00:00:00+00:00,,0.0799,0.081,0.0806,0.0834,0.0834,0.0834,0.0843,0.0841,,0.0845
1990-02-28 00:00:00+00:00,,0.0804,0.0814,0.0812,0.0843,0.0845,0.0844,0.0854,0.0851,,0.0854
1990-03-01 00:00:00+00:00,,0.0808,0.0819,0.0821,0.0853,0.0853,0.0853,0.0862,0.0859,,0.0861
1990-03-02 00:00:00+00:00,,0.0802,0.0817,0.0822,0.0848,0.085,0.085,0.0857,0.0854,,0.0855
1990-03-05 00:00:00+00:00,,0.0809,0.0827,0.0831,0.0855,0.0859,0.0858,0.0869,0.0865,,0.0866
1990-03-06 00:00:00+00:00,,0.0817,0.0824,0.0831,0.0854,0.0856,0.0857,0.0864,0.0859,,0.0859
1990-03-07 00:00:00+00:00,,0.0818,0.0822,0.0829,0.0854,0.0855,0.0856,0.0863,0.0858,,0.0858
1990-03-08 00:00:00+00:00,,0.0818,0.0824,0.0835,0.0859,0.0858,0.0857,0.0862,0.0857,,0.0856
1990-03-09 00:00:00+00:00,,0.0826,0.0833,0.0846,0.0873,0.0871,0.0868,0.0871,0.0865,,0.0863
1990-03-12 00:00:00+00:00,,0.0826,0.0833,0.0844,0.0871,0.087,0.0867,0.087,0.0863,,0.0862
1990-03-13 00:00:00+00:00,,0.0826,0.0834,0.0848,0.0877,0.0877,0.0875,0.0878,0.0873,,0.0872
1990-03-14 00:00:00+00:00,,0.0823,0.0831,0.0841,0.0869,0.087,0.0867,0.0871,0.0865,,0.0861
1990-03-15 00:00:00+00:00,,0.0821,0.0832,0.0841,0.0871,0.087,0.0869,0.0873,0.0866,,0.0863
1990-03-16 00:00:00+00:00,,0.0819,0.0829,0.0836,0.0864,0.0862,0.0861,0.0864,0.0859,,0.0855
1990-03-19 00:00:00+00:00,,0.0822,0.0832,0.0838,0.0868,0.0866,0.0865,0.0866,0.0859,,0.0854
1990-03-20 00:00:00+00:00,,0.0825,0.0835,0.0838,0.0868,0.0865,0.0861,0.0862,0.0854,,0.0847
1990-03-21 00:00:00+00:00,,0.0823,0.0834,0.0839,0.0869,0.0866,0.0862,0.0863,0.0855,,0.0847
1990-03-22 00:00:00+00:00,,0.0817,0.0827,0.0832,0.0862,0.086,0.0856,0.0861,0.0853,,0.0849
1990-03-23 00:00:00+00:00,,0.0815,0.0826,0.0829,0.0861,0.0859,0.0854,0.0859,0.0852,,0.0848
1990-03-26 00:00:00+00:00,,0.0813,0.0828,0.083,0.0861,0.0859,0.0852,0.0858,0.0851,,0.0847
1990-03-27 00:00:00+00:00,,0.0817,0.083,0.0835,0.0859,0.086,0.0855,0.0859,0.0852,,0.0848
